ref,pred,bleu
and i m here to explain the reason for this . , do there s . ,0.12287673380733741
i want to say about the cosmetic today . , i do not . ,0.24092085663272753
we would like to renew the contract in the condition above . , do you have to be . ,0.27952792741962756
our summer vacation starts next week . , we will do . ,0.33401359264888447
she is an interesting writer who creates new things . , do you have been . ,0.24601580968354606
it begins soon after the rainy season is over . , the is is important . ,0.3237750138999811
plus three tops i ordered don t fit me they re small . , i have to be . ,0.16056239100113953
it will begin when the school me to the company . , i have to be . ,0.23953094040783438
since tuna is in season now let s start with that . , i do there . ,0.09569649651041094
begin to work not thinking of putting off it . , do you have to do . ,0.39011264866539486
split the work in detail before you start . , you are . ,0.12228923309170908
and they gradually started to realize the truth of love . , do there is . ,0.12287673380733741
then the brothers get into a conflict . , do you have . ,0.2601300475114445
people guess your personality by blood type in korea . , do the best . ,0.15777684932819508
i came to work and started doing today s work . , i have to do there . ,0.3654520756092885
i arrived at the company and drank morning coffee . , i have to be a lot . ,0.476273899703797
begin our travel phillippines trip . , my family are . ,0.42888194248035344
he starts to chase the criminal with jeon . , do he is . ,0.24092085663272753
something scary and weird starts to happen . , you are too too . ,0.3670124608961283
he begins to design a shoe just for her . , do there is . ,0.15777684932819508
middle school students take midterm exams from today . , i have to do . ,0.3004843884984905
the weather is warm and the flowers are starting to bloom . , is the most important . ,0.2170328822226251
restart game to language to korean . , do you have been . ,0.4482700320176827
i begin with the living guidance when i arrive at the school . , i do not . ,0.08862983010459298
going out is a pain for me recently . , do you are . ,0.2025894847023147
i started the treatment because you were hurt and worried . , you are not . ,0.14612588611198102
i ve started to in the room without people knowing . , i have to be . ,0.2650845609581655
i will start studying chinese from tomorrow . , i do there . ,0.30934850332660563
i start two stages of a diet from today . , i have to go . ,0.2925637512788283
normal life becomes enviable from some moment . , is is important for me . ,0.45782273986766686
i connected to computer and it works here . , do there is a problem . ,0.38753858253732953
let s start putting together one thing at a time . , do you are . ,0.12287673380733741
many years pass and the aged stars become smaller again . , is the best . ,0.14612588611198102
so let s start again starting next week . , do you have . ,0.2025894847023147
we start the debate about the stupid . , you are in korea . ,0.3670124608961283
we start reviewing as you officially submit it . , do you are . ,0.24092085663272753
we start construction of expanding the of beach . , do there is it . ,0.3004843884984905
the pot that has a starts to boil . , do there is it . ,0.3004843884984905
is starting her swimming lessons starting tomorrow . , i have to do . ,0.3670124608961283
as a result the asians and the whites started a new world . , the is is . ,0.08862983010459298
start the meal only after elders start eating . , i will be very . ,0.3004843884984905
the captain s lecture was cancelled so it starts earlier . , you are too . ,0.12287673380733741
this novel begins when jun comes to school . , the second is . ,0.2025894847023147
he starts to change after getting her help . , he is not . ,0.24092085663272753
the players begin practicing in a poor environment . , do there are . ,0.2025894847023147
the people love it and start to group . , do many people . ,0.24092085663272753
communication begins by expressing oneself . , do our company . ,0.42888194248035344
the leaves of trees start to turn red . , the is is . ,0.24092085663272753
the class for today starts from the third session . , you are very important . ,0.24601580968354606
happy family starts from the safety . , i have to do . ,0.4482700320176827
without eating medication my start to ache . , do you have to do . ,0.5444460596606694
i start a new week with a new mind . , do you have to work . ,0.3280443278078623
semester starts in early march in korea . , do there are . ,0.2601300475114445
then something new starts to be shown . , do you have . ,0.2601300475114445
my son will start military service from this afternoon . , my is my sister . ,0.2925637512788283
when the orders come in we start to make food . , do the best is important . ,0.3302232277439296
coding for the dog will start . , do there is . ,0.33401359264888447
from now on the baseball final begins . , is is there . ,0.2601300475114445
i started adjusting to the korean society since i was born . , don t have to do . ,0.27952792741962756
somehow naturally the boy begins to draw her feet . , the second is is . ,0.2925637512788283
start target with an infrared . , do there is . ,0.42888194248035344
they are ready to start their business now . , we will be . ,0.2025894847023147
this story starts from the perspective of . , i do not work . ,0.3670124608961283
this story starts with a funny scene . , do there s . ,0.2601300475114445
travel starts from the way i walk on . , you are . ,0.10283257773094409
camera works properly after you reset the factory . , are there . ,0.10283257773094409
all my work is motivated by my growth process . , my is . ,0.09697196786440505
start your day with morning stretching . , i do there . ,0.33401359264888447
and they start to make plans for the next year . , you are possible . ,0.12287673380733741
a starts moving a bit after he entered . , i have to be in korea . ,0.46199933699457096
at that time john came forward to find the way out . , do you are . ,0.09569649651041094
visit customers to begin technical sales . , do our problem is . ,0.4482700320176827
so that is why the third world war happened . , do there are there . ,0.24601580968354606
after sample is sent to get approved it will be processed . , we will be in the future . ,0.25307989573458556
i design and make all dolls of our company . , our company are . ,0.15777684932819505
we start to make dolls once the payment is done . , do not have a lot . ,0.27768352844338134
most tourists start from the south rim . , the is is . ,0.30934850332660563
i start preparing christmas dinner two days early . , i have to go to korea . ,0.5494128986804837
touch the screen to play the game ! , do you have a lot . ,0
i started to see this situation in an objective way . , we are not . ,0.12287673380733741
i expected that when i began to study . , i have to do . ,0.3954596950007842
i started to become tired of them . , do you have . ,0.2601300475114445
i began to get better little by little at some time . , it is too . ,0.09569649651041094
i recently started to study toeic . , i do there . ,0.39721134088567395
